Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2012,30 000 - 34 999,Hyundai,i 40,6 CV,toute_la_ville,Diesel,"(85000.0,)"
2011,120 000 - 129 999,Audi,Q5,6 CV,maarif,Diesel,"(215000.0,)"
agdal,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(400.0,)"
2017,0 - 4 999,Dacia,Dokker,6 CV,al_fida,Diesel,"(nan,)"
2017,15 000 - 19 999,Nissan,Micra,6 CV,"Voitures, Offre",Diesel,"(147000.0,)"
2019,0 - 4 999,Mercedes-Benz,Classe S,12 CV,anfa,Diesel,"(nan,)"
2008,130 000 - 139 999,Mercedes-Benz,Classe S,11 CV,hay_dakhla,Diesel,"(170000.0,)"
2015,100 000 - 109 999,Hyundai,Santa Fe,9 CV,sidi_maarouf,Diesel,"(nan,)"
1999,0 - 4 999,Honda,CR-V,11 CV,"Voitures, Offre",Essence,"(35000.0,)"
2015,95 000 - 99 999,Volkswagen,Tiguan,8 CV,sidi_maarouf,Diesel,"(nan,)"
2004,250 000 - 299 999,Citroen,XSARA,8 CV,zitoune,Diesel,"(50100.0,)"
6,"112 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",centre_ville,"(1570000.0,)"
2004,200 000 - 249 999,Renault,Kangoo,7 CV,"Voitures, Offre",Diesel,"(68000.0,)"
2017,70 000 - 74 999,Ford,Fiesta,6 CV,hay_charaf,Diesel,"(110000.0,)"
2006,140 000 - 149 999,Kia,Picanto,lkhiam,"Voitures, Offre",Essence,"(47000.0,)"
2014,120 000 - 129 999,Hyundai,Santa Fe,9 CV,sidi_maarouf,Diesel,"(nan,)"
2015,110 000 - 119 999,Skoda,Octavia,8 CV,hay_dakhla,Diesel,"(168000.0,)"
2011,140 000 - 149 999,Citroen,Berlingo,6 CV,"Voitures, Offre",Diesel,"(98000.0,)"
4,"-
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",ain_diab,"(nan,)"
2014,80 000 - 84 999,Peugeot,3008,ben_msick,"Voitures, Offre",Diesel,"(134000.0,)"
2009,180 000 - 189 999,Hyundai,Tucson,8 CV,algerie,Diesel,"(88000.0,)"
2014,100 000 - 109 999,Land Rover,Range Rover Evoque,9 CV,oasis,Diesel,"(265000.0,)"
2010,100 000 - 109 999,Peugeot,206+,6 CV,"Voitures, Offre",Diesel,"(77000.0,)"
