Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
ain_chock,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
1990,100 000 - 109 999,Volkswagen,Jetta,8 CV,"Voitures, Offre",Essence,19 000
2011,140 000 - 149 999,Renault,Kangoo,6 CV,"Voitures, Offre",Diesel,"(None,)"
2004,190 000 - 199 999,Renault,Clio,route_dazemmour,"Voitures, Offre",Diesel,"(None,)"
2016,35 000 - 39 999,Dacia,Duster,6 CV,charaf,Diesel,165 000
2012,45 000 - 49 999,Mercedes-Benz,Sprinter,"Voitures, Offre","
",Diesel,230 000
2014,100 000 - 109 999,Renault,Master,9 CV,"Voitures, Offre",Diesel,150 000
2012,140 000 - 149 999,Volkswagen,Touareg,12 CV,centre_ville,Diesel,195 000
2,"90 m²
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",route_dimmouzere,2 800
2003,160 000 - 169 999,Volkswagen,GOLF 4,hay_massira,"Voitures, Offre",Diesel,83 000
ain_chock,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre",75
2009,120 000 - 129 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,54 000
2017,80 000 - 84 999,Dacia,Duster,6 CV,yacoub_el_mansour,Diesel,"(None,)"
2017,85 000 - 89 999,Ford,Fiesta,"Voitures, Offre","
",Diesel,102 000
2015,10 000 - 14 999,Renault,Logan,autre_secteur,"Voitures, Offre",Diesel,86 000
2014,50 000 - 54 999,Nissan,Juke,6 CV,"Voitures, Offre",Diesel,73 000
2006,160 000 - 169 999,Toyota,Corolla,centre_ville,"Voitures, Offre",Diesel,56 000
2,"-
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",anfa,600
2,"-
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,430 000
2019,0 - 4 999,Mercedes-Benz,Classe C,9 CV,anfa,Diesel,"(None,)"
2012,100 000 - 109 999,Peugeot,Bipper,6 CV,ain_chock,Diesel,57 000
1997,200 000 - 249 999,Mitsubishi,nativa,8 CV,"Voitures, Offre",Diesel,35 000
2012,120 000 - 129 999,Ford,Focus,"Voitures, Offre","
",Diesel,123 000
autre_secteur,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",200
3,"97 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,1 460 000
2011,120 000 - 129 999,Alfa Romeo,Mito,maarif,"Voitures, Offre",Essence,100 000
2011,130 000 - 139 999,Audi,Q5,8 CV,hay_el_fath,Diesel,"(None,)"
2016,25 000 - 29 999,Volkswagen,Touran,8 CV,hay_hassani,Diesel,265 000
belvedere,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre",350
2008,170 000 - 179 999,Volkswagen,Tiguan,16 CV,autre_secteur,Diesel,165 000
2010,170 000 - 179 999,BMW,Serie 3,2_mars,"Voitures, Offre",Diesel,179 000
1995,190 000 - 199 999,Peugeot,405,8 CV,al_fida,Diesel,32 000
2012,100 000 - 109 999,BMW,Serie 5,8 CV,"Voitures, Offre",Diesel,260 000
4,"300 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",al_kodia,7 000
1982,40 000 - 44 999,Renault,R9,8 CV,"Voitures, Offre",Essence,17 000
2007,150 000 - 159 999,Citroen,C4,ain_chock,"Voitures, Offre",Diesel,69 000
2015,45 000 - 49 999,Citroen,DS5,belvedere,"Voitures, Offre",Diesel,"(None,)"
1994,150 000 - 159 999,Opel,Astra,6 CV,"Voitures, Offre",Diesel,42 000
2013,100 000 - 109 999,Citroen,Berlingo,"Voitures, Offre","
",Diesel,12 500
2013,30 000 - 34 999,Dacia,Logan,8 CV,"Voitures, Offre",Essence,70 000
2014,60 000 - 64 999,Dacia,Duster,6 CV,"Voitures, Offre",Diesel,11 000
2017,50 000 - 54 999,Seat,Ibiza,6 CV,"Voitures, Offre",Essence,100 000
2014,85 000 - 89 999,Ford,Fiesta,6 CV,route_de_sefrou,Diesel,"(None,)"
2016,65 000 - 69 999,Maserati,other,belvedere,"Voitures, Offre",Diesel,"(None,)"
2008, 200 000 - 249 999,Volkswagen,Touareg,11 CV,ain_sebaa,Diesel,100 000
2018,50 000 - 54 999,Alfa Romeo,Giulietta,6 CV,autre_secteur,Diesel,190 000
2014,110 000 - 119 999,Renault,Megane,6 CV,anfa,Diesel,113 000
2007,170 000 - 179 999,Renault,R19,7 CV,ben_msick,Diesel,50 000
2005,100 000 - 109 999,Renault,GRAND SCENIC,"Voitures, Offre","
",Diesel,65 000
2017,65 000 - 69 999,Peugeot,Tepee,6 CV,hay_riad,Diesel,125 000
2016,80 000 - 84 999,Ford,Fiesta,6 CV,"Voitures, Offre",Diesel,"(None,)"
2011,130 000 - 139 999,Volkswagen,GOLF 6,6 CV,anfa,Diesel,125 000
1981,80 000 - 84 999,Porsche,911 Turbo,8 CV,"Voitures, Offre",Essence,10 000
2010,0 - 4 999,Honda,Accord,9 CV,anfa,Diesel,113 000
2007,150 000 - 159 999,Toyota,Prado,12 CV,drissia,Diesel,140 000
2001,150 000 - 159 999,Seat,Cordoba,8 CV,aharrarine,Diesel,60 000
2009,130 000 - 139 999,Renault,Megane,"Voitures, Offre","
",Diesel,90 000
2010,150 000 - 159 999,Mazda,CX7,9 CV,hay_hassani,Diesel,138 000
2005,120 000 - 129 999,Renault,GRAND SCENIC,"Voitures, Offre","
",Diesel,64 000
3,"200 m²
","Maisons et Villas, Offre de location","
","
Sauvegarder l'annonce
","
",al_boustane,3 200
2014,90 000 - 94 999,Land Rover,Range Rover,12 CV,belvedere,Diesel,"(None,)"
2013,0 - 4 999,Volkswagen,Caddy,6 CV,agadir_oufella,Diesel,"(None,)"
10,"450 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",ain_diab,8 200 000
2006,130 000 - 139 999,Mitsubishi,lancer,aviation,"Voitures, Offre",Essence,45 000
2016,45 000 - 49 999,Kia,Rio,6 CV,centre_ville,Diesel,123 000
2014,200 000 - 249 999,Seat,Leon,"Voitures, Offre","
",Diesel,"(None,)"
1997,5 000 - 9 999,Renault,19,7 CV,"Voitures, Offre",Diesel,55 000
2014,150 000 - 159 999,Dacia,Logan,afaq,"Voitures, Offre",Diesel,75 000
2009,100 000 - 109 999,Volkswagen,Tiguan,11 CV,yacoub_el_mansour,Essence,"(None,)"
2014,190 000 - 199 999,Dacia,Logan,el_haouzia,"Voitures, Offre",Diesel,83 000
"Image & Son, Offre",,"
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
",180
2015,130 000 - 139 999,Dacia,Logan,6 CV,"Voitures, Offre",Diesel,90 000
2015,30 000 - 34 999,Nissan,Qashqai,6 CV,lissasfa,Diesel,"(None,)"
2008,200 000 - 249 999,Renault,Kangoo,7 CV,"Voitures, Offre",Diesel,68 000
2014,180 000 - 189 999,Renault,Fluence,7 CV,"Voitures, Offre",Diesel,100 000
2015,80 000 - 84 999,Renault,Megane,centre_ville,"Voitures, Offre",Diesel,175 000
2012,110 000 - 119 999,Peugeot,308,6 CV,hay_hassani,Diesel,97 000
2017,50 000 - 54 999,Porsche,Cayenne,12 CV,derb_ghallef,Diesel,"(None,)"
2013,140 000 - 149 999,Isuzu,D-MAX,10 CV,"Voitures, Offre",Diesel,175 000
2,"58 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",centre_ville,590 000
2014,60 000 - 64 999,BMW,Serie 5,anfa,"Voitures, Offre",Diesel,"(None,)"
2018,10 000 - 14 999,Nissan,Micra,"Voitures, Offre","
",Diesel,148 000
2012,150 000 - 159 999,Kia,Sportage,8 CV,hay_hassani,Diesel,145 000
2010,40 000 - 44 999,Kia,C'eed,6 CV,targa,Diesel,103 000
1999,250 000 - 299 999,Volkswagen,GOLF 4,"Voitures, Offre","
",Diesel,"(None,)"
2008,200 000 - 249 999,Volkswagen,Caddy,8 CV,"Voitures, Offre",Diesel,93 000
2013,95 000 - 99 999,Hyundai,ix 35,7 CV,val_fleury,Diesel,155 000
1990,200 000 - 249 999,Peugeot,205,8 CV,"Voitures, Offre",Essence,16 000
5,"900 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",la_belle_vue,"(None,)"
centre,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(None,)"
2016,90 000 - 94 999,Renault,Kangoo,"Voitures, Offre","
",Diesel,"(None,)"
2015,80 000 - 84 999,Ford,F350,6 CV,"Voitures, Offre",Diesel,102 000
2008,200 000 - 249 999,Citroen,C4 Picasso,6 CV,hay_fath,Diesel,84 000
6,"108 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",yacoub_el_mansour,2 300 000
1987,10 000 - 14 999,Peugeot,309,7 CV,"Voitures, Offre",Diesel,28 000
2017,20 000 - 24 999,Nissan,Qashqai,6 CV,toute_la_ville,Diesel,210 000
2003,170 000 - 179 999,Peugeot,RCZ,6 CV,bouaakkaz,Essence,44 000
2015,80 000 - 84 999,Renault,Kangoo,6 CV,2_mars,Diesel,109 000
"Voitures, Offre","-
","
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
","(None,)"
2012,95 000 - 99 999,Citroen,Berlingo,wilaya,"Voitures, Offre",Diesel,118 000
1997,200 000 - 249 999,Renault,Megane,8 CV,"Voitures, Offre",Essence,32 000
2004,20 000 - 24 999,Honda,Jazz,sidi_moumen,"Voitures, Offre",Essence,450 000
2014,45 000 - 49 999,Mercedes-Benz,CLASSE GLK,9 CV,yacoub_el_mansour,Diesel,"(None,)"
2018,0 - 4 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,135 000
1996,250 000 - 299 999,Peugeot,406,8 CV,"Voitures, Offre",Diesel,36 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2013,80 000 - 84 999,Volkswagen,Polo,6 CV,"Voitures, Offre",Essence,85 000
2,"48 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",hay_mohammadi,300
2003,160 000 - 169 999,Volkswagen,Polo,8 CV,"Voitures, Offre",Diesel,60 000
2016,20 000 - 24 999,Hyundai,Elantra,8 CV,californie,Diesel,160 000
2019,100 000 - 109 999,Mercedes-Benz,Classe C,6 CV,hassan,Diesel,"(None,)"
2018,60 000 - 64 999,Volkswagen,GOLF 7,"Voitures, Offre","
",Diesel,192 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2008,250 000 - 299 999,Toyota,RAV 4,"Voitures, Offre","
",Diesel,110 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
2009,80 000 - 84 999,Kia,C'eed,6 CV,ain_sebaa,Diesel,83 000
2008,250 000 - 299 999,Kia,Sportage,8 CV,"Voitures, Offre",Diesel,70 000
2015,140 000 - 149 999,Land Rover,Range Rover Evoque,9 CV,hay_el_fath,Diesel,"(None,)"
"Camions, Offre",,"
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
",55 000
2006,5 000 - 9 999,Volkswagen,Passat,"Voitures, Offre","
",Diesel,87 000
2006,170 000 - 179 999,Mercedes-Benz,220,9 CV,"Voitures, Offre",Diesel,"(None,)"
2017,50 000 - 54 999,Kia,Picanto,6 CV,belvedere,Essence,"(None,)"
2001,35 000 - 39 999,Citroen,C15,"Voitures, Offre","
",Diesel,39 000
2009,170 000 - 179 999,Citroen,C5,6 CV,"Voitures, Offre",Diesel,113 000
2009,95 000 - 99 999,BMW,Serie 1,9 CV,autre_secteur,Essence,90 000
2011,170 000 - 179 999,Opel,Insignia,el_bassatine,"Voitures, Offre",Diesel,115 000
2013,150 000 - 159 999,Volkswagen,GOLF 6,6 CV,"Voitures, Offre",Diesel,130 000
2013,95 000 - 99 999,Opel,Corsa,6 CV,"Voitures, Offre",Diesel,930 000
2014,90 000 - 94 999,Audi,A4,8 CV,laimoune,Diesel,208 000
2014,70 000 - 74 999,Audi,Q5,12 CV,laimoune,Diesel,450 000
2014,95 000 - 99 999,Hyundai,Accent,6 CV,"Voitures, Offre",Diesel,100 000
2015,50 000 - 54 999,Renault,Megane,6 CV,hay_qods,Diesel,"(None,)"
2012,120 000 - 129 999,Peugeot,508,8 CV,belvedere,Diesel,"(None,)"
2000,120 000 - 129 999,Daewoo,Lanos,8 CV,"Voitures, Offre",Essence,16 000
2007,90 000 - 94 999,Mercedes-Benz,220,8 CV,tanger_city_center,Diesel,185 000
2010,190 000 - 199 999,Renault,Megane,7 CV,toute_la_ville,Diesel,75 000
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre",249
