Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
6,"120 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",branes_2,"(['3350000', '3', '350', '000', '3350000', '3', '350', '000'],)"
2013,85 000 - 89 999,Volkswagen,Polo,"Voitures, Offre","
",Diesel,"([],)"
2011,250 000 - 299 999,Mitsubishi,pajero sport,6 CV,route_dagadir__essaouira,Diesel,"([],)"
2011,80 000 - 84 999,Mercedes-Benz,Classe S,belvedere,"Voitures, Offre",Diesel,"([],)"
2010,160 000 - 169 999,Volkswagen,Passat,8 CV,al_qods,Diesel,"(['129000', '129', '000', '129000', '129', '000'],)"
2008,160 000 - 169 999,Mazda,CX-9,20 CV,sidi_maarouf,Essence,"(['49000', '49', '000', '49000', '49', '000'],)"
2016,45 000 - 49 999,Peugeot,208,6 CV,centre,Diesel,"([],)"
1993,0 - 4 999,Mercedes-Benz,190,8 CV,"Voitures, Offre",Diesel,"(['29000', '29', '000', '29000', '29', '000'],)"
2017,60 000 - 64 999,Audi,A5,8 CV,oulfa,Diesel,"(['395000', '395', '000', '395000', '395', '000'],)"
2013,90 000 - 94 999,Renault,Clio,6 CV,"Voitures, Offre",Diesel,"(['90000', '90', '000', '90000', '90', '000'],)"
2012,55 000 - 59 999,Ford,Fiesta,6 CV,assif,Essence,"([],)"
2017,65 000 - 69 999,Renault,Clio,6 CV,centre,Diesel,"([],)"
2015,100 000 - 109 999,Citroen,C4 Picasso,6 CV,oulfa,Diesel,"(['148000', '148', '000', '148000', '148', '000'],)"
2010,130 000 - 139 999,Volkswagen,Scirocco,8 CV,"Voitures, Offre",Diesel,"(['169000', '169', '000', '169000', '169', '000'],)"
2008,140 000 - 149 999,Ford,Fiesta,7 CV,"Voitures, Offre",Essence,"(['51500', '51', '500', '51500', '51', '500'],)"
2015,55 000 - 59 999,Fiat,Punto,6 CV,bourgogne,Diesel,"(['80000', '80', '000', '80000', '80', '000'],)"
